Sample_ID,Replication,Row,Column,Absorbance,Concentration
elm-school_06212026,1,C,4,0.293,3.337416007
elm-school_06212026,2,C,5,0.302,3.507507846
elm-school_06212026,3,C,6,0.305,3.564205125
elm-school-x5dilute_06212026,1,D,4,0.15,0.634845684
elm-school-x5dilute_06212026,2,D,5,0.15,0.634845684
elm-school-x5dilute_06212026,3,D,6,0.151,0.653744778
gcp_06212026,1,A,4,0.226,2.071176765
gcp_06212026,2,A,5,0.262,2.751544119
gcp_06212026,3,A,6,0.249,2.505855908
gcp-x5dilute_06212026,1,B,4,0.143,0.502552032
gcp-x5dilute_06212026,2,B,5,0.132,0.294662007
gcp-x5dilute_06212026,3,B,6,0.14,0.445854753
heron-map_06212026,1,G,4,0.571,8.591363908
heron-map_06212026,2,G,5,0.585,8.855951212
heron-map_06212026,3,G,6,0.571,8.591363908
heron-map-x5dilute_06212026,1,H,4,0.191,1.409708504
heron-map-x5dilute_06212026,2,H,5,0.214,1.844387647
heron-map-x5dilute_06212026,3,H,6,0.208,1.730993088
heron-resi_06212026,1,E,4,0.441,6.134481796
heron-resi_06212026,2,E,5,0.44,6.115582703
heron-resi_06212026,3,E,6,0.443,6.172279982
heron-resi-x5dilute_06212026,1,F,4,0.18,1.201818479
heron-resi-x5dilute_06212026,2,F,5,0.178,1.164020293
heron-resi-x5dilute_06212026,3,F,6,0.179,1.182919386
High STD 0,1,A,1,0.109,-0.140017135
High STD 0,2,A,2,0.11,-0.121118042
High STD 0,3,A,3,0.107,-0.177815322
High STD 1,1,B,1,0.127,0.200166542
High STD 1,2,B,2,0.121,0.086771983
High STD 1,3,B,3,0.121,0.086771983
High STD 2,1,C,1,0.141,0.464753846
High STD 2,2,C,2,0.139,0.42695566
High STD 2,3,C,3,0.139,0.42695566
High STD 3,1,D,1,0.168,0.975029361
High STD 3,2,D,2,0.168,0.975029361
High STD 3,3,D,3,0.168,0.975029361
High STD 4,1,E,1,0.229,2.127874045
High STD 4,2,E,2,0.252,2.562553187
High STD 4,3,E,3,0.228,2.108974951
High STD 5,1,F,1,0.289,3.261819635
High STD 5,2,F,2,0.359,4.584756156
High STD 5,3,F,3,0.342,4.263471572
High STD 6,1,G,1,0.525,7.722005622
High STD 6,2,G,2,0.527,7.759803808
High STD 6,3,G,3,0.529,7.797601995
High STD 7,1,H,1,0.593,9.007143957
High STD 7,2,H,2,0.654,10.15998864
High STD 7,3,H,3,0.649,10.06549317
