"Sample_ID","Replication","Row","Column","Absorbance","Concentration"
"High STD 0",1,"A",1,0.103,-0.109173289070369
"High STD 0",2,"A",2,0.103,-0.109173289070369
"High STD 0",3,"A",3,0.1,-0.147610713609774
"gcp_08052026",1,"A",4,0.135,0.300825906016616
"gcp_08052026",2,"A",5,0.132,0.262388481477211
"gcp_08052026",3,"A",6,0.132,0.262388481477211
"adams-mid-up_08052026",1,"A",7,0.139,0.352075805402489
"adams-mid-up_08052026",2,"A",8,0.137,0.326450855709552
"adams-mid-up_08052026",3,"A",9,0.137,0.326450855709552
"heron-map_08052026",1,"A",10,0.363,3.22207017101138
"heron-map_08052026",2,"A",11,0.267,1.99207258575043
"heron-map_08052026",3,"A",12,0.27,2.03051001028983
"High STD 1",1,"B",1,0.117,0.0702013587801867
"High STD 1",2,"B",2,0.121,0.12145125816606
"High STD 1",3,"B",3,0.119,0.0958263084731231
"gcp-x5dilute_08052026",1,"B",4,0.108,-0.0451109148380279
"gcp-x5dilute_08052026",2,"B",5,0.11,-0.0194859651450913
"gcp-x5dilute_08052026",3,"B",6,0.116,0.0573888839337184
"adams-mid-up-x5dilute_08052026",1,"B",7,0.11,-0.0194859651450913
"adams-mid-up-x5dilute_08052026",2,"B",8,0.109,-0.0322984399915596
"adams-mid-up-x5dilute_08052026",3,"B",9,0.108,-0.0451109148380279
"heron-map-x5dilute_08052026",1,"B",10,0.139,0.352075805402489
"heron-map-x5dilute_08052026",2,"B",11,0.142,0.390513229941893
"heron-map-x5dilute_08052026",3,"B",12,0.144,0.41613817963483
"High STD 2",1,"C",1,0.148,0.467388079020703
"High STD 2",2,"C",2,0.147,0.454575604174235
"High STD 2",3,"C",3,0.147,0.454575604174235
"elm-bridge_08052026",1,"C",4,0.206,1.21051162011586
"elm-bridge_08052026",2,"C",5,0.207,1.22332409496233
"elm-bridge_08052026",3,"C",6,0.208,1.2361365698088
"adams-mid-down_08052026",1,"C",7,0.133,0.275200956323679
"adams-mid-down_08052026",2,"C",8,0.134,0.288013431170147
"adams-mid-down_08052026",3,"C",9,0.133,0.275200956323679
"heron-out_08052026",1,"C",10,0.133,0.275200956323679
"heron-out_08052026",2,"C",11,0.135,0.300825906016616
"heron-out_08052026",3,"C",12,0.134,0.288013431170147
"High STD 3",1,"D",1,0.188,0.979887072879435
"High STD 3",2,"D",2,0.192,1.03113697226531
"High STD 3",3,"D",3,0.194,1.05676192195824
"elm-bridge-x5dilute_08052026",1,"D",4,0.124,0.159888682705465
"elm-bridge-x5dilute_08052026",2,"D",5,0.123,0.147076207858996
"elm-bridge-x5dilute_08052026",3,"D",6,0.124,0.159888682705465
"adams-mid-down-x5dilute_08052026",1,"D",7,0.11,-0.0194859651450913
"adams-mid-down-x5dilute_08052026",2,"D",8,0.108,-0.0451109148380279
"adams-mid-down-x5dilute_08052026",3,"D",9,0.108,-0.0451109148380279
"heron-out-x5dilute_08052026",1,"D",10,0.115,0.0445764090872501
"heron-out-x5dilute_08052026",2,"D",11,0.114,0.0317639342407818
"heron-out-x5dilute_08052026",3,"D",12,0.115,0.0445764090872501
"High STD 4",1,"E",1,0.277,2.12019733421511
"High STD 4",2,"E",2,0.254,1.82551041274634
"High STD 4",3,"E",3,0.283,2.19707218329392
"elm-school_08052026",1,"E",4,0.282,2.18425970844745
"elm-school_08052026",2,"E",5,0.27,2.03051001028983
"elm-school_08052026",3,"E",6,0.272,2.05613495998277
"adams-out_08052026",1,"E",7,0.125,0.172701157551933
"adams-out_08052026",2,"E",8,0.123,0.147076207858996
"adams-out_08052026",3,"E",9,0.123,0.147076207858996
"High STD 5",1,"F",1,0.426,4.02925608633889
"High STD 5",2,"F",2,0.454,4.38800538204
"High STD 5",3,"F",3,0.453,4.37519290719353
"elm-school-x5dilute_08052026",1,"F",4,0.149,0.480200553867172
"elm-school-x5dilute_08052026",2,"F",5,0.14,0.364888280248957
"elm-school-x5dilute_08052026",3,"F",6,0.137,0.326450855709552
"adams-out-x5dilute_08052026",1,"F",7,0.107,-0.0579233896844962
"adams-out-x5dilute_08052026",2,"F",8,0.107,-0.0579233896844962
"adams-out-x5dilute_08052026",3,"F",9,0.106,-0.0707358645309645
"High STD 6",1,"G",1,0.689,7.39893697096004
"High STD 6",2,"G",2,0.713,7.70643636727528
"High STD 6",3,"G",3,0.732,7.94987338935818
"adams-in_08052026",1,"G",4,0.201,1.14644924588352
"adams-in_08052026",2,"G",5,0.206,1.21051162011586
"adams-in_08052026",3,"G",6,0.203,1.17207419557646
"heron-resi_08052026",1,"G",7,0.562,5.77175266545857
"heron-resi_08052026",2,"G",8,0.552,5.64362791699389
"heron-resi_08052026",3,"G",9,0.552,5.64362791699389
"High STD 7",1,"H",1,0.817,9.03893375130798
"High STD 7",2,"H",2,0.89,9.97424441510017
"High STD 7",3,"H",3,0.91,10.2304939120295
"adams-in-x5dilute_08052026",1,"H",4,0.129,0.223951056937806
"adams-in-x5dilute_08052026",2,"H",5,0.125,0.172701157551933
"adams-in-x5dilute_08052026",3,"H",6,0.122,0.134263733012528
"heron-resi-x5dilute_08052026",1,"H",7,0.203,1.17207419557646
"heron-resi-x5dilute_08052026",2,"H",8,0.197,1.09519934649765
"heron-resi-x5dilute_08052026",3,"H",9,0.2,1.13363677103705
