"Sample_ID","Replication","Row","Column","Absorbance","Concentration"
"High STD 0",1,"A",1,0.11,-0.00868616719161509
"High STD 0",2,"A",2,0.107,-0.0603849331336815
"High STD 0",3,"A",3,0.109,-0.0259190891723039
"elm-school_06012026",1,"A",4,0.385,4.73036737749781
"elm-school_06012026",2,"A",5,0.384,4.71313445551712
"elm-school_06012026",3,"A",6,0.384,4.71313445551712
"heron-out_06122026",1,"A",7,0.15,0.680630712035937
"heron-out_06122026",2,"A",8,0.148,0.646164868074559
"heron-out_06122026",3,"A",9,0.149,0.663397790055248
"High STD 1",1,"B",1,0.121,0.180875974595962
"High STD 1",2,"B",2,0.119,0.146410130634584
"High STD 1",3,"B",3,0.121,0.180875974595962
"elm-school_05222026",1,"B",4,0.156,0.78402824392007
"elm-school_05222026",2,"B",5,0.154,0.749562399958692
"elm-school_05222026",3,"B",6,0.155,0.766795321939381
"elm-school_06122026",1,"B",7,0.354,4.19614679609645
"elm-school_06122026",2,"B",8,0.348,4.09274926421232
"elm-school_06122026",3,"B",9,0.347,4.07551634223163
"High STD 2",1,"C",1,0.14,0.508301492229049
"High STD 2",2,"C",2,0.137,0.456602726286983
"High STD 2",3,"C",3,0.141,0.525534414209738
"adams-in_06122026",1,"C",4,0.131,0.35320519440285
"adams-in_06122026",2,"C",5,0.114,0.0602455207311402
"adams-in_06122026",3,"C",6,0.114,0.0602455207311402
"adams-mid-down_06122026",1,"C",7,0.128,0.301506428460783
"adams-mid-down_06122026",2,"C",8,0.126,0.267040584499406
"adams-mid-down_06122026",3,"C",9,0.127,0.284273506480095
"High STD 3",1,"D",1,0.17,1.02528915164971
"High STD 3",2,"D",2,0.17,1.02528915164971
"High STD 3",3,"D",3,0.172,1.05975499561109
"adams-out_06122026",1,"D",4,0.11,-0.00868616719161509
"adams-out_06122026",2,"D",5,0.11,-0.00868616719161509
"adams-out_06122026",3,"D",6,0.109,-0.0259190891723039
"heron-map_06122026",1,"D",7,0.572,7.95292378788661
"heron-map_06122026",2,"D",8,0.541,7.41870320648526
"heron-map_06122026",3,"D",9,0.538,7.36700444054319
"High STD 4",1,"E",1,0.273,2.80028011566066
"High STD 4",2,"E",2,0.254,2.47285459802757
"High STD 4",3,"E",3,0.304,3.33450069706201
"elm-bridge_05222026",1,"E",4,0.333,3.83425543450199
"elm-bridge_05222026",2,"E",5,0.282,2.95537641348686
"elm-bridge_05222026",3,"E",6,0.363,4.35124309392265
"elm-bridge_06112026",1,"E",7,0.223,1.93863401662622
"elm-bridge_06112026",2,"E",8,0.219,1.86970232870346
"elm-bridge_06112026",3,"E",9,0.221,1.90416817266484
"High STD 5",1,"F",1,0.347,4.07551634223163
"High STD 5",2,"F",2,0.346,4.05828342025094
"High STD 5",3,"F",3,0.347,4.07551634223163
"elm-bridge_06122026",1,"F",4,0.348,4.09274926421232
"elm-bridge_06122026",2,"F",5,0.37,4.47187354778747
"elm-bridge_06122026",3,"F",6,0.379,4.62696984561367
"High STD 6",1,"G",1,0.54,7.40147028450457
"High STD 6",2,"G",2,0.543,7.45316905044664
"High STD 6",3,"G",3,0.547,7.52210073836939
"heron-resi_06122026",1,"G",4,0.532,7.26360690865906
"heron-resi_06122026",2,"G",5,0.529,7.21190814271699
"heron-resi_06122026",3,"G",6,0.528,7.1946752207363
"High STD 7",1,"H",1,0.561,7.76336164609904
"High STD 7",2,"H",2,0.572,7.95292378788661
"High STD 7",3,"H",3,0.575,8.00462255382868
"adams-in_06012026",1,"H",4,0.118,0.129177208653895
"adams-in_06012026",2,"H",5,0.116,0.0947113646925178
"adams-in_06012026",3,"H",6,0.115,0.077478442711829
