"","1","2","3","4","5","6","7","8","9","10","11","12",""
"A",0.082,0.08,0.08,5.10698442707623,5.16610355312141,5.1774726158224,0.113692088798799,0.109144463718401,0.106870651178202,5.21840124154599,5.15700830296061,5.1751988032822,540
"B",0.095,0.088,0.089,5.36165143157854,5.37756811935993,5.35937761903834,0.118239713879198,0.113692088798799,0.113692088798799,5.16610355312141,5.15928211550081,5.09334155183503,540
"C",0.121,0.119,0.119,0.454763969828679,0.438847282047284,0.438847282047284,0.0159181495702342,0.00682289940943741,0.0113705244898358,0.432025844426687,0.425204406806089,0.425204406806089,540
"D",0.169,0.163,0.165,0.0341086498918277,0.0272872122712301,0.0272872122712301,5.37984193190013,5.34800855633734,5.29343705537256,4.30432860038591,4.29750716276531,4.29750716276531,540
"E",0.253,0.253,0.254,0.0318348373516285,0.0227395871908317,0.0204657746506326,3.92687571871285,3.87912565536866,3.88822090552946,4.17244747305436,4.17699509813476,4.15880459781316,540
"F",0.349,0.344,0.325,0.0272872122712301,0.0272872122712301,0.0227395871908317,2.62398113317871,0.0363824624320269,1.59849167754887,1.93956355857875,1.92364687079736,1.91455162063656,540
"G",0.435,0.429,0.428,0.00682289940943741,0.0295610248114293,-0.0159152259925545,5.30025849299316,5.28206799267157,5.34800855633734,2.19877818816146,2.19423056308106,2.26471875182724,540
"H",0.524,0.513,0.503,2.31019500263122,2.25107587658604,2.23061156372425,0.0363824624320269,0.0363824624320269,0.0409300875124253,0.468406845069874,0.475228282690471,0.47750209523067,540
