"Sample_ID","Replication","Row","Column","Absorbance","Concentration"
"High STD 0",1,"A",1,0.113,-0.0760032932787182
"High STD 0",2,"A",2,0.107,-0.196227018494074
"High STD 0",3,"A",3,0.106,-0.216264306029967
"heron-map_06212026",1,"A",4,0.302,3.71104405100499
"heron-map_06212026",2,"A",5,0.3,3.67096947593321
"heron-map_06212026",3,"A",6,0.302,3.71104405100499
"High STD 1",1,"B",1,0.122,0.104332294544316
"High STD 1",2,"B",2,0.117,0.00414585686485248
"High STD 1",3,"B",3,0.116,-0.0158914306710402
"heron-map-x5dilute_06212026",1,"B",4,0.148,0.625301770477525
"heron-map-x5dilute_06212026",2,"B",5,0.147,0.605264482941632
"heron-map-x5dilute_06212026",3,"B",6,0.147,0.605264482941632
"High STD 2",1,"C",1,0.137,0.404891607582706
"High STD 2",2,"C",2,0.138,0.424928895118598
"High STD 2",3,"C",3,0.136,0.384854320046813
"heron-resi_06212026",1,"C",4,0.492,7.5181286828246
"heron-resi_06212026",2,"C",5,0.48,7.27768123239389
"heron-resi_06212026",3,"C",6,0.475,7.17749479471442
"High STD 3",1,"D",1,0.177,1.20638310901841
"High STD 3",2,"D",2,0.171,1.08615938380306
"High STD 3",3,"D",3,0.168,1.02604752119538
"heron-resi-x5dilute_06212026",1,"D",4,0.189,1.44683055944912
"heron-resi-x5dilute_06212026",2,"D",5,0.189,1.44683055944912
"heron-resi-x5dilute_06212026",3,"D",6,0.185,1.36668140930555
"High STD 4",1,"E",1,0.225,2.16817291074126
"High STD 4",2,"E",2,0.218,2.02791189799001
"High STD 4",3,"E",3,0.221,2.08802376059769
"elm-school_06212026",1,"E",4,0.218,2.02791189799001
"elm-school_06212026",2,"E",5,0.203,1.72735258495162
"elm-school_06212026",3,"E",6,0.213,1.92772546031055
"High STD 5",1,"F",1,0.345,4.57264741504838
"High STD 5",2,"F",2,0.334,4.35223725215356
"High STD 5",3,"F",3,0.323,4.13182708925874
"elm-school-x5dilute_06212026",1,"F",4,0.139,0.444966182654491
"elm-school-x5dilute_06212026",2,"F",5,0.146,0.585227195405739
"elm-school-x5dilute_06212026",3,"F",6,0.149,0.645339058013417
"High STD 6",1,"G",1,0.49,7.47805410775281
"High STD 6",2,"G",2,0.505,7.7786134207912
"High STD 6",3,"G",3,0.5,7.67842698311174
"gcp_06212026",1,"G",4,0.227,2.20824748581304
"gcp_06212026",2,"G",5,0.23,2.26835934842072
"gcp_06212026",3,"G",6,0.225,2.16817291074126
"High STD 7",1,"H",1,0.558,8.84058966019352
"High STD 7",2,"H",2,0.64,10.4836472381367
"High STD 7",3,"H",3,0.609,9.86249132452404
"gcp-x5dilute_06212026",1,"H",4,0.137,0.404891607582706
"gcp-x5dilute_06212026",2,"H",5,0.138,0.424928895118598
"gcp-x5dilute_06212026",3,"H",6,0.132,0.304705169903242
