"","1","2","3","4","5","6","7","8","9","10","11","12",""
"A",0.08,0.08,0.083,3.99214029624763,4.04768672599237,4.041021154423,0.612695510577211,0.608251796197632,0.608251796197632,-0.087189504206602,-0.087189504206602,-0.087189504206602,540
"B",0.09,0.089,0.089,0.723788370066706,0.721566512876916,0.712679084117756,3.58776228770587,3.59220600208545,3.56332185861818,-0.0849676470168121,-0.087189504206602,-0.087189504206602,540
"C",0.12,0.119,0.119,0.119443214443857,0.137218071962176,0.121665071633647,0.290526218057678,0.279416932108729,0.277195074918939,-0.087189504206602,-0.087189504206602,-0.087189504206602,540
"D",0.167,0.167,0.165,0.0216814980931023,0.0239033552828922,0.0216814980931023,5.25415518004828,5.25193332285849,5.22527103658101,-0.0849676470168121,-0.087189504206602,-0.087189504206602,540
"E",0.258,0.258,0.261,3.28336785270465,3.3166957105515,3.29225528146381,1.67474324729678,1.66585581853762,1.65919024696825,-0.087189504206602,-0.087189504206602,-0.087189504206602,540
"F",0.347,0.343,0.342,3.91881900898456,4.25431944464283,4.24543201588367,2.1524425431016,0.0416782128012113,-0.00942450256395609,-0.087189504206602,-0.087189504206602,-0.087189504206602,540
"G",0.436,0.44,0.437,5.30081418103387,5.39635404019483,5.26970818037681,-0.00942450256395609,-0.00942450256395609,-0.00720264537416621,-0.087189504206602,-0.087189504206602,-0.087189504206602,540
"H",0.522,0.506,0.541,0.139439929151966,0.141661786341756,0.137218071962176,-0.00942450256395609,-0.00942450256395609,-0.00942450256395609,-0.087189504206602,-0.087189504206602,-0.087189504206602,540
