Sample_ID,Replication,Row,Column,Absorbance,Concentration
adams-in_06212026,1,C,4,0.364,4.529227333
adams-in_06212026,2,C,5,0.367,4.582302891
adams-in_06212026,3,C,6,0.366,4.564611038
adams-mid-down_06212026,1,E,4,0.239,2.317745773
adams-mid-down_06212026,2,E,5,0.242,2.37082133
adams-mid-down_06212026,3,E,6,0.242,2.37082133
adams-mid-up_06212026,1,D,4,0.24,2.335437625
adams-mid-up_06212026,2,D,5,0.241,2.353129478
adams-mid-up_06212026,3,D,6,0.24,2.335437625
adams-out_06212026,1,F,4,0.164,0.990856836
adams-out_06212026,2,F,5,0.166,1.026240541
adams-out_06212026,3,F,6,0.158,0.884705722
elm-bridge_06212026,1,A,4,0.549,7.802220043
elm-bridge_06212026,2,A,5,0.547,7.766836338
elm-bridge_06212026,3,A,6,0.541,7.660685223
elm-school_06212026,1,B,4,0.989,15.58663514
elm-school_06212026,2,B,5,0.998,15.74586181
elm-school_06212026,3,B,6,1,15.78124551
gcp_06212026,1,G,4,1.003,15.83432107
gcp_06212026,2,G,5,1.095,17.4619715
gcp_06212026,3,G,6,1.012,15.99354774
heron-map_06212026,1,A,7,1.744,28.94398376
heron-map_06212026,2,A,8,1.599,26.37866515
heron-map_06212026,3,A,9,1.567,25.81252587
heron-out_06212026,1,B,7,0.304,3.467716184
heron-out_06212026,2,B,8,0.283,3.096187282
heron-out_06212026,3,B,9,0.282,3.07849543
heron-resi_06212026,1,H,4,2.706,45.96354585
heron-resi_06212026,2,H,5,2.732,46.42353401
heron-resi_06212026,3,H,6,2.746,46.67121995
High STD 0,1,A,1,0.111,0.053188655
High STD 0,2,A,2,0.107,-0.017578755
High STD 0,3,A,3,0.107,-0.017578755
High STD 1,1,B,1,0.12,0.212415327
High STD 1,2,B,2,0.115,0.123956065
High STD 1,3,B,3,0.116,0.141647917
High STD 2,1,C,1,0.133,0.442409409
High STD 2,2,C,2,0.141,0.583944229
High STD 2,3,C,3,0.133,0.442409409
High STD 3,1,D,1,0.161,0.937781279
High STD 3,2,D,2,0.16,0.920089427
High STD 3,3,D,3,0.16,0.920089427
High STD 4,1,E,1,0.211,1.822373903
High STD 4,2,E,2,0.218,1.946216871
High STD 4,3,E,3,0.207,1.751606493
High STD 5,1,F,1,0.361,4.476151776
High STD 5,2,F,2,0.348,4.246157693
High STD 5,3,F,3,0.353,4.334616956
High STD 6,1,G,1,0.546,7.749144485
High STD 6,2,G,2,0.534,7.536842255
High STD 6,3,G,3,0.534,7.536842255
High STD 7,1,H,1,0.667,9.889858636
High STD 7,2,H,2,0.66,9.766015668
High STD 7,3,H,3,0.662,9.801399373
