,1,2,3,
A,0.039,0.032,0.032,540
B,0.042,0.032,0.032,540
C,0.031,0.031,0.032,540
D,0.032,0.031,0.034,540
E,0.036,0.031,0.041,540
F,0.04,0.032,0.031,540
G,0.048,0.042,0.031,540
H,0.061,0.054,0.034,540
