,1,2,3,4,5,6,7,8,9,10,11,12,,,
A,0.032,0.031,0.032,0.037,0.039,0.038,0.169,0.163,0.158,0.036,0.036,0.036,540,0,
B,0.1,0.124,0.109,0.04,0.041,0.041,0.093,0.09,0.09,0.036,0.036,0.036,540,0.05,
C,0.126,0.137,0.128,0.044,0.041,0.043,0.037,0.037,0.037,0.036,0.036,0.036,540,0.1,
D,0.251,0.197,0.255,0.042,0.038,0.041,0.037,0.037,0.037,0.037,0.036,0.036,540,,0.2
E,0.516,0.528,0.487,0.033,0.033,0.043,0.036,0.036,0.037,0.038,0.036,0.036,540,0.4,
F,0.897,0.797,0.661,0.067,0.035,0.068,0.036,0.036,0.036,0.036,0.036,0.036,540,0.6,
G,0.9,0.889,0.937,0.034,0.032,0.035,0.04,0.037,0.036,0.036,0.036,0.036,540,0.8,
H,2.999,3.063,3.038,0.042,0.032,0.042,0.036,0.036,0.036,0.036,0.036,0.036,540,10,
