,1,2,3,4,5,6,7,8,9,10,11,12,,[cxn]
A,0.113,0.109,0.109,0.595,0.603,0.596,0.115,0.112,0.113,0.595,0.576,0.573,540,0
B,0.122,0.12,0.12,0.556,0.546,0.539,0.115,0.115,0.114,0.459,0.459,0.463,540,0.05
C,0.173,0.134,0.139,0.142,0.134,0.134,0.108,0.107,0.107,0.132,0.131,0.138,540,0.1
D,0.17,0.169,0.168,0.111,0.109,0.108,0.492,0.406,0.482,0.395,0.392,0.393,540,0.2
E,0.255,0.274,0.278,0.109,0.113,0.11,0.373,0.366,0.375,0.389,0.385,0.383,540,0.4
F,0.346,0.342,0.344,0.114,0.109,0.109,0.214,0.212,0.21,0.242,0.23,0.231,540,0.6
G,0.537,0.54,0.538,0.107,0.107,0.107,0.53,0.475,0.536,0.258,0.254,0.255,540,0.8
H,0.567,0.568,0.565,0.269,0.253,0.254,0.111,0.108,0.108,0.138,0.137,0.136,540,1
