,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.075,0.069,0.072,0.481,0.483,0.485,2.119,2.097,2.088,0.036,0.036,0.036,540
B,0.094,0.086,0.093,0.877,0.89,0.883,0.268,0.269,0.269,0.037,0.036,0.036,540
C,0.122,0.107,0.116,0.303,0.307,0.305,0.037,0.037,0.038,0.038,0.036,0.036,540
D,0.159,0.143,0.159,0.193,0.192,0.192,0.036,0.037,0.038,0.037,0.036,0.036,540
E,0.324,0.29,0.332,0.196,0.193,0.194,0.037,0.039,0.042,0.036,0.036,0.036,540
F,0.328,0.289,0.326,0.131,0.126,0.125,0.036,0.036,0.037,0.036,0.036,0.036,540
G,0.404,0.366,0.416,0.863,0.892,0.873,0.037,0.037,0.037,0.036,0.036,0.036,540
H,0.49,0.398,0.513,2.395,2.404,2.386,0.036,0.036,0.036,0.036,0.036,0.036,540
