,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.1,0.097,0.097,0.223,0.247,0.241,0.115,0.116,0.116,0.305,0.365,0.297,540
B,0.119,0.117,0.116,0.128,0.124,0.129,0.102,0.105,0.101,0.149,0.148,0.145,540
C,0.149,0.146,0.146,0.168,0.169,0.17,0.116,0.118,0.117,0.14,0.13,0.133,540
D,0.18,0.196,0.199,0.113,0.114,0.118,0.101,0.101,0.1,0.104,0.105,0.104,540
E,0.292,0.292,0.292,0.209,0.22,0.226,0.103,0.104,0.104,0.036,0.036,0.035,540
F,0.444,0.509,0.483,0.121,0.122,0.119,0.095,0.096,0.103,0.036,0.036,0.035,540
G,0.774,0.788,0.795,0.134,0.134,0.137,0.556,0.579,0.577,0.036,0.036,0.035,540
H,0.947,0.955,0.945,0.101,0.103,0.102,0.187,0.196,0.2,0.036,0.037,0.035,540
