,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.094,0.094,0.095,0.226,0.236,0.242,0.135,0.136,0.137,0.715,0.508,0.513,540
B,0.117,0.112,0.113,0.126,0.124,0.123,0.104,0.105,0.103,0.181,0.184,0.184,540
C,0.145,0.158,0.143,0.225,0.232,0.234,0.133,0.127,0.139,0.118,0.116,0.122,540
D,0.196,0.209,0.19,0.121,0.125,0.12,0.102,0.108,0.105,0.101,0.099,0.1,540
E,0.286,0.294,0.289,0.258,0.271,0.261,0.151,0.153,0.154,0.036,0.036,0.035,540
F,0.471,0.473,0.489,0.131,0.134,0.13,0.106,0.108,0.107,0.036,0.035,0.035,540
G,0.78,0.782,0.781,0.15,0.151,0.151,0.548,0.57,0.559,0.035,0.036,0.035,540
H,0.949,0.958,0.965,0.105,0.106,0.106,0.193,0.196,0.194,0.035,0.035,0.035,540
