,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.113,0.107,0.106,0.302,0.3,0.302,0.036,0.036,0.036,0.039,0.036,0.035,540
B,0.122,0.117,0.116,0.148,0.147,0.147,0.037,0.036,0.036,0.036,0.036,0.037,540
C,0.137,0.138,0.136,0.492,0.48,0.475,0.036,0.037,0.036,0.036,0.036,0.036,540
D,0.177,0.171,0.168,0.189,0.189,0.185,0.036,0.037,0.037,0.036,0.036,0.036,540
E,0.225,0.218,0.221,0.218,0.203,0.213,0.037,0.038,0.037,0.036,0.036,0.036,540
F,0.345,0.334,0.323,0.139,0.146,0.149,0.036,0.038,0.037,0.036,0.036,0.036,540
G,0.49,0.505,0.5,0.227,0.23,0.225,0.037,0.038,0.037,0.036,0.039,0.037,540
H,0.558,0.64,0.609,0.137,0.138,0.132,0.036,0.036,0.038,0.036,0.036,0.037,540
