,1,2,3,4,5,6,7,8,9,10,11,12,,[cxn]
A,0.08,0.08,0.083,1.872,1.897,1.894,0.351,0.349,0.349,0.036,0.036,0.036,540,0
B,0.09,0.089,0.089,0.401,0.4,0.396,1.69,1.692,1.679,0.037,0.036,0.036,540,0.2
C,0.12,0.119,0.119,0.129,0.137,0.13,0.206,0.201,0.2,0.036,0.036,0.036,540,0.5
D,0.167,0.167,0.165,0.085,0.086,0.085,2.44,2.439,2.427,0.037,0.036,0.036,540,1
E,0.258,0.258,0.261,1.553,1.568,1.557,0.829,0.825,0.822,0.036,0.036,0.036,540,2
F,0.347,0.343,0.342,1.839,1.99,1.986,1.044,0.094,0.071,0.036,0.036,0.036,540,4
G,0.436,0.44,0.437,2.461,2.504,2.447,0.071,0.071,0.072,0.036,0.036,0.036,540,7.5
H,0.522,0.506,0.541,0.138,0.139,0.137,0.071,0.071,0.071,0.036,0.036,0.036,540,10
