,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.117,0.106,0.106,0.228,0.266,0.248,0.036,0.036,0.036,0.036,0.036,0.036,540
B,0.126,0.12,0.118,0.15,0.152,0.138,0.036,0.036,0.036,0.036,0.036,0.036,540
C,0.172,0.137,0.135,0.394,0.352,0.35,0.036,0.036,0.036,0.036,0.036,0.036,540
D,0.188,0.158,0.164,0.177,0.161,0.16,0.036,0.036,0.036,0.036,0.036,0.036,540
E,0.232,0.217,0.218,0.476,0.47,0.467,0.036,0.036,0.036,0.036,0.036,0.035,540
F,0.358,0.34,0.339,0.204,0.187,0.185,0.036,0.036,0.036,0.036,0.036,0.036,540
G,0.514,0.513,0.516,0.576,0.583,0.581,0.036,0.036,0.036,0.036,0.036,0.036,540
H,0.66,0.62,0.657,0.223,0.211,0.188,0.036,0.036,0.036,0.036,0.036,0.036,540
