,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.082,0.08,0.08,2.322,2.348,2.353,0.126,0.124,0.123,2.371,2.344,2.352,540
B,0.095,0.088,0.089,2.434,2.441,2.433,0.128,0.126,0.126,2.348,2.345,2.316,540
C,0.121,0.119,0.119,0.276,0.269,0.269,0.083,0.079,0.081,0.266,0.263,0.263,540
D,0.169,0.163,0.165,0.091,0.088,0.088,2.442,2.428,2.404,1.969,1.966,1.966,540
E,0.253,0.253,0.254,0.09,0.086,0.085,1.803,1.782,1.786,1.911,1.913,1.905,540
F,0.349,0.344,0.325,0.088,0.088,0.086,1.23,0.092,0.779,0.929,0.922,0.918,540
G,0.435,0.429,0.428,0.079,0.089,0.069,2.407,2.399,2.428,1.043,1.041,1.072,540
H,0.524,0.513,0.503,1.092,1.066,1.057,0.092,0.092,0.094,0.282,0.285,0.286,540
